"","cowID","tag","ID","Group","Lactation","DIM_levels","Breed","AGEy","TimeINFeeding","TimeINCubic"
"2",1362,"0024E211",2417169,"G2","2","Late","RDC",3,31591,38821
"16",1306,"0024FA52",2423378,"G2","2","Late","RDC",4,36359,39840
"30",1283,"0024FA54",2423380,"G2","3+","Late","HOL",4,29202,48451
"44",980,"00250596",2426262,"G2","2","Late","CROSS",4,29183,43756
"58",1338,"0025059E",2426270,"G2","2","Late","HOL",4,21023,60235
"72",1135,"002505B2",2426290,"G2","3+","Late","CROSS",6,35733,42705
"86",1497,"00250619",2426393,"G2","1","Mid","HOL",2,37818,42350
"100",1164,"00250A35",2427445,"G2","3+","Mid","RDC",5,38470,39176
"114",1275,"00250A42",2427458,"G2","3+","Late","RDC",4,44689,28673
"128",1439,"00250A49",2427465,"G2","1","Late","HOL",3,32322,39583
"142",1045,"00250AAA",2427562,"G2","3+","Late","HOL",7,18599,43143
"156",1141,"0024E213",2417171,"G2","3+","Late","CROSS",6,42545,39224
"170",1238,"00250AAD",2427565,"G2","2","Late","HOL",5,13742,64987
"184",892,"00250ACF",2427599,"G2","3+","Late","CROSS",6,18964,55750
"198",1466,"00250AD8",2427608,"G2","1","Late","CROSS",2,46026,30809
"212",972,"00250ADE",2427614,"G2","2","Late","CROSS",4,27742,49641
"226",974,"00250AE0",2427616,"G2","2","Late","CROSS",4,34306,40900
"240",1483,"00250B4E",2427726,"G2","1","Mid","CROSS",2,32568,37058
"254",3902,"00250B50",2427728,"G2","3+","Late","HOL",9,32745,42292
"268",962,"00250B51",2427729,"G2","2","Late","CROSS",4,23035,47351
"282",979,"00250B59",2427737,"G2","2","Late","CROSS",4,31070,45289
"296",1469,"00250BE6",2427878,"G2","1","Late","HOL",2,39652,39456
"310",1481,"0024E217",2417175,"G2","1","Late","HOL",2,27458,43743
"324",976,"00250BEB",2427883,"G2","2","Late","CROSS",4,19662,59179
"338",1294,"00250C01",2427905,"G2","2","Late","CROSS",4,34059,42953
"352",607,"00250C8C",2428044,"G2","3+","Late","HOL",5,36596,39056
"366",945,"00250C98",2428056,"G2","3+","Late","CROSS",5,29505,48606
"380",1235,"00250C9E",2428062,"G2","3+","Late","CROSS",5,27667,51893
"394",1253,"00250CB0",2428080,"G2","3+","Mid","CROSS",5,33515,42487
"408",1376,"00250CBB",2428091,"G2","2","Mid","CROSS",3,34082,29686
"422",1452,"00250CBE",2428094,"G2","1","Late","CROSS",3,28579,44839
"436",1312,"00250D10",2428176,"G2","2","Late","CROSS",4,24300,47000
"450",1484,"00250D76",2428278,"G2","1","Mid","RDC",2,37912,38503
"464",1268,"0024E22B",2417195,"G2","3+","Mid","RDC",4,25735,53740
"478",934,"00250D83",2428291,"G2","3+","Late","CROSS",5,36488,39908
"492",1496,"00250D95",2428309,"G2","1","Mid","RDC",2,37746,43135
"506",1066,"00250D96",2428310,"G2","3+","Mid","RDC",6,31525,49039
"520",1389,"00250D9B",2428315,"G2","2","Mid","CROSS",3,35657,35683
"534",1460,"00250DA3",2428323,"G2","1","Late","RDC",3,25923,48862
"548",1375,"00250DBC",2428348,"G2","2","Late","CROSS",3,27731,46645
"562",1390,"00250DE2",2428386,"G2","2","Late","RDC",3,23119,55563
"576",1323,"00250DEE",2428398,"G2","2","Late","RDC",4,26121,48204
"590",1342,"00250F25",2428709,"G2","2","Late","CROSS",4,36430,41908
"604",1470,"00250F27",2428711,"G2","1","Late","RDC",2,29256,50921
"618",1468,"0024EE68",2420328,"G2","1","Late","HOL",2,35787,45134
"632",1067,"00250F28",2428712,"G2","3+","Late","RDC",6,22625,58630
"646",1143,"00250F2A",2428714,"G2","3+","Late","CROSS",6,41282,34837
"660",1503,"00250F3C",2428732,"G2","1","Mid","HOL",2,31941,46528
"674",1473,"00250F43",2428739,"G2","1","Late","CROSS",2,43366,36523
