x;y;datetime;smd50upveg;distroad;elevation;day
699861,419;7225205,227;2010-08-01 00:02;Young;424,2640686;294;1
699862,9517;7225212,781;2010-08-01 00:04;Young;424,2640686;273;1
699865,4539;7225212,95;2010-08-01 00:06;Young;424,2640686;267;1
699860,093;7225206,255;2010-08-01 00:08;Young;424,2640686;285;1
699865,6104;7225212,96;2010-08-01 00:10;Young;424,2640686;263;1
699857,9161;7225210,578;2010-08-01 00:12;Young;424,2640686;283;1
699863,6242;7225215,62;2010-08-01 00:14;Young;424,2640686;272;1
699861,3754;7225208,204;2010-08-01 00:16;Young;424,2640686;279;1
699865,9105;7225208,51;2010-08-01 00:18;Young;424,2640686;275;1
699856,6525;7225206,023;2010-08-01 00:20;Young;424,2640686;290;1
699856,3524;7225210,473;2010-08-01 00:22;Young;424,2640686;278;1
699862,1385;7225210,863;2010-08-01 00:24;Young;424,2640686;275;1
699857,0747;7225207,914;2010-08-01 00:26;Young;424,2640686;291;1
699856,6024;7225206,764;2010-08-01 00:28;Young;424,2640686;290;1
699868,9752;7225204,992;2010-08-01 00:30;Young;424,2640686;302;1
699856,8401;7225207,898;2010-08-01 00:32;Young;424,2640686;290;1
699860,4056;7225206,276;2010-08-01 00:34;Young;424,2640686;292;1
699863,7958;7225207,25;2010-08-01 00:36;Young;424,2640686;302;1
699859,1514;7225209,73;2010-08-01 00:38;Young;424,2640686;294;1
699860,9846;7225208,178;2010-08-01 00:40;Young;424,2640686;269;1
699861,294;7225207,081;2010-08-01 00:42;Young;424,2640686;285;1
699857,5909;7225206,086;2010-08-01 00:44;Young;424,2640686;280;1
699859,0109;7225215,309;2010-08-01 00:46;Young;424,2640686;271;1
699854,9917;7225208,518;2010-08-01 00:48;Young;424,2640686;292;1
699860,2807;7225208,13;2010-08-01 00:50;Young;424,2640686;276;1
699860,2806;7225208,13;2010-08-01 00:52;Young;424,2640686;283;1
699856,2272;7225212,327;2010-08-01 00:54;Young;424,2640686;280;1
699862,4666;7225211,817;2010-08-01 00:56;Young;424,2640686;296;1
699859,1667;7225219,976;2010-08-01 00:58;Young;424,2640686;310;1
699861,7941;7225208,977;2010-08-01 01:00;Young;424,2640686;301;1
699862,8576;7225211,843;2010-08-01 01:02;Young;424,2640686;292;1
699870,802;7225215,173;2010-08-01 01:04;Young;424,2640686;275;1
699871,6434;7225217,838;2010-08-01 01:06;Young;424,2640686;272;1
699868,7064;7225215,963;2010-08-01 01:08;Young;424,2640686;283;1
699869,6758;7225222,548;2010-08-01 01:10;Clear;390,5124817;289;1
699861,8567;7225212,707;2010-08-01 01:12;Young;424,2640686;299;1
699857,2593;7225217,985;2010-08-01 01:14;Young;424,2640686;278;1
699848,0951;7225221,091;2010-08-01 01:16;Clear;390,5124817;302;1
699849,3465;7225221,176;2010-08-01 01:18;Clear;390,5124817;273;1
699848,361;7225222,972;2010-08-01 01:20;Clear;390,5124817;297;1
699852,1113;7225222,108;2010-08-01 01:22;Clear;390,5124817;272;1
699845,5307;7225226,506;2010-08-01 01:24;Clear;390,5124817;281;1
699850,3002;7225226,828;2010-08-01 01:26;Clear;390,5124817;285;1
699836,4479;7225240,049;2010-08-01 01:28;Clear;390,5124817;295;1
699842,1215;7225246,765;2010-08-01 01:30;Clear;390,5124817;283;1
699842,0903;7225254,214;2010-08-01 01:32;Clear;390,5124817;275;1
699852,0983;7225245,576;2010-08-01 01:34;Clear;390,5124817;299;1
699858,0724;7225238,528;2010-08-01 01:36;Clear;390,5124817;274;1
699860,6681;7225248,948;2010-08-01 01:38;Clear;390,5124817;284;1
699867,0799;7225235,411;2010-08-01 01:40;Clear;390,5124817;278;1
699855,2264;7225189,908;2010-08-01 01:42;Young;424,2640686;291;1
699865,0378;7225199,324;2010-08-01 01:44;Young;424,2640686;289;1
699865,6259;7225190,61;2010-08-01 01:46;Young;424,2640686;286;1
699856,9779;7225191,889;2010-08-01 01:48;Young;424,2640686;286;1
699870,3016;7225176,024;2010-08-01 01:50;Young;424,2640686;302;1
699877,1823;7225185,802;2010-08-01 01:52;Young;424,2640686;306;1
699860,5529;7225188,964;2010-08-01 01:54;Young;424,2640686;279;1
699857,3409;7225200,481;2010-08-01 01:56;Young;424,2640686;273;1
699853,65;7225203,958;2010-08-01 01:58;Young;424,2640686;286;1
699859,7303;7225179,036;2010-08-01 02:00;Young;424,2640686;289;1
699848,3233;7225223,528;2010-08-01 02:02;Clear;390,5124817;306;1
699851,9113;7225197,135;2010-08-01 02:04;Young;424,2640686;275;1
699853,7125;7225207,687;2010-08-01 02:06;Young;424,2640686;294;1
699861,169;7225190,309;2010-08-01 02:08;Young;424,2640686;282;1
699860,9813;7225197,747;2010-08-01 02:10;Young;424,2640686;286;1
699856,8402;7225207,898;2010-08-01 02:12;Young;424,2640686;284;1
699855,1013;7225215,045;2010-08-01 02:14;Young;424,2640686;279;1
699858,2912;7225205,016;2010-08-01 02:16;Young;424,2640686;300;1
699859,405;7225202,483;2010-08-01 02:18;Young;424,2640686;282;1
699863,1268;7225200,872;2010-08-01 02:20;Young;424,2640686;286;1
699851,4735;7225217,594;2010-08-01 02:22;Young;424,2640686;264;1
699872,5445;7225199,831;2010-08-01 02:24;Young;424,2640686;262;1
699893,8964;7225180,224;2010-08-01 02:26;Mire;460,9772339;320;1
699862,2699;7225197,275;2010-08-01 02:28;Young;424,2640686;284;1
699855,1637;7225214,118;2010-08-01 02:30;Young;424,2640686;292;1
699870,0077;7225201,336;2010-08-01 02:32;Young;424,2640686;281;1
699873,3225;7225203,422;2010-08-01 02:34;Young;424,2640686;309;1
699857,7284;7225213,36;2010-08-01 02:36;Young;424,2640686;288;1
699859,355;7225203,225;2010-08-01 02:38;Young;424,2640686;276;1
699857,9475;7225212,443;2010-08-01 02:40;Young;424,2640686;273;1
699858,3038;7225218,8;2010-08-01 02:42;Young;424,2640686;291;1
699864,8501;7225197,449;2010-08-01 02:44;Young;424,2640686;292;1
699867,7994;7225203,795;2010-08-01 02:46;Young;424,2640686;288;1
699866,2858;7225202,948;2010-08-01 02:48;Young;424,2640686;280;1
699853,2253;7225219,575;2010-08-01 02:50;Young;424,2640686;239;1
699855,7893;7225204,847;2010-08-01 02:52;Young;424,2640686;291;1
699862,7201;7225204,57;2010-08-01 02:54;Young;424,2640686;291;1
699862,5825;7225197,296;2010-08-01 02:56;Young;424,2640686;291;1
699862,2822;7225206,403;2010-08-01 02:58;Young;424,2640686;291;1
699866,0352;7225206,656;2010-08-01 03:00;Young;424,2640686;305;1
699864,0464;7225203,542;2010-08-01 03:02;Young;424,2640686;282;1
699859,9995;7225200,661;2010-08-01 03:04;Young;424,2640686;262;1
699869,0191;7225202,014;2010-08-01 03:06;Young;424,2640686;299;1
699870,8645;7225200,276;2010-08-01 03:08;Young;424,2640686;294;1
699865,7225;7225206,635;2010-08-01 03:10;Young;424,2640686;296;1
699863,0799;7225202,731;2010-08-01 03:12;Young;424,2640686;287;1
699866,736;7225205,586;2010-08-01 03:14;Young;424,2640686;289;1
699866,0354;7225206,656;2010-08-01 03:16;Young;424,2640686;288;1
699858,4789;7225211,548;2010-08-01 03:18;Young;424,2640686;293;1
699863,8273;7225199,801;2010-08-01 03:20;Young;424,2640686;295;1
699862,9832;7225196,019;2010-08-01 03:22;Young;424,2640686;272;1
699861,8447;7225208,236;2010-08-01 03:24;Young;424,2640686;269;1
699862,4387;7225206,413;2010-08-01 03:26;Young;424,2640686;284;1
699854,8509;7225204,784;2010-08-01 03:28;Young;424,2640686;294;1
